sexual_orientation,location_type,income_bracket,education_level,interest_tags,app_usage_time_min,app_usage_time_label,swipe_right_ratio,swipe_right_label,likes_received,mutual_matches,profile_pics_count,bio_length,message_sent_count,emoji_usage_rate,last_active_hour,swipe_time_of_day,match_outcome,age,height_cm,weight_kg,zodiac_sign,body_type,relationship_intent,Género,Provincia
Asexual,Urban,Upper-Middle,Bachelor’s,"Movies, Motorcycling, Writing",170,Addicted,0.4,Balanced,200,10,2,210,10,0.35,14,Morning,One-sided Like,53,171.0,68.8,Gemini,Muscular,Exploring,Hombre,Cáceres
Pansexual,Metro,Very Low,High School,"Cooking, Art, Fitness",255,Extreme User,0.65,Optimistic,120,27,3,420,50,0.2,1,Late Night,Mutual Match,48,154.0,54.7,Cancer,Athletic,Friends Only,No binario,Cuenca
Queer,Remote Area,Middle,PhD,"Social Activism, Traveling, Reading",95,High,0.55,Optimistic,175,25,0,330,15,0.15,10,Afternoon,Relationship Formed,39,176.0,73.1,Leo,Curvy,Hookups,Hombre,Almería
Straight,Suburban,Lower-Middle,Master’s,"Gaming, Fashion, Pets",130,Addicted,0.25,Balanced,130,2,4,450,80,0.5,17,Evening,Date Happened,27,163.0,56.5,Libra,Average,Serious Relationship,Hombre,Ourense
Lesbian,Rural,High,No Formal Education,"Astrology, Coding, Gaming",280,Extreme User,0.85,Swipe Maniac,190,15,1,380,55,0.45,4,Early Morning,Ghosted,51,190.0,100.2,Scorpio,Plus Size,Hookups,Mujer,Ciudad Real
Bisexual,Urban,Very High,Diploma,"Binge-Watching, Photography, Music",5,Barely,0.42,Optimistic,40,28,6,60,25,0.3,19,Afternoon,Blocked,44,160.0,54.5,Sagittarius,Slim,Casual Dating,Hombre,Navarra
Demisexual,Metro,Middle,Associate’s,"Writing, Meditation, Investing",295,Extreme User,0.78,Swipe Maniac,100,20,5,40,99,0.1,12,Late Night,No Action,36,180.0,80.1,Capricorn,Muscular,Networking,Mujer,León
Straight,Small Town,Low,Postdoc,"DIY, Running, History",115,High,0.3,Balanced,160,13,2,240,40,0.6,23,After Midnight,Catfished,21,185.0,85.8,Aquarius,Curvy,Exploring,Hombre,Alicante
Asexual,Remote Area,Very Low,Master’s,"Board Games, Art, Tattoos",265,Extreme User,0.5,Optimistic,15,4,4,150,5,0.2,9,Morning,Mutual Match,59,179.0,81.4,Pisces,Athletic,Friends Only,Mujer,Salamanca
Queer,Urban,High,PhD,"Stand-up Comedy, Traveling, Coding",20,Low,0.68,Optimistic,70,26,1,310,70,0.15,16,Afternoon,One-sided Like,40,165.0,65.0,Aries,Average,Casual Dating,Hombre,León
Gay,Suburban,Middle,Bachelor’s,"Pets, Makeup, Investing",185,Extreme User,0.4,Balanced,120,25,3,490,60,0.5,17,Evening,Chat Ignored,35,170.0,68.7,Taurus,Slim,Serious Relationship,Hombre,Ourense
Pansexual,Rural,Upper-Middle,Diploma,"Fashion, Binge-Watching, Gaming",145,Addicted,0.6,Optimistic,190,18,6,280,30,0.4,2,Early Morning,Date Happened,52,183.0,86.2,Gemini,Plus Size,Hookups,Mujer,Zamora
Bisexual,Metro,Low,High School,"Cooking, Art, Music",75,High,0.4,Balanced,155,11,0,320,75,0.35,15,After Midnight,Relationship Formed,43,155.0,54.3,Cancer,Slim,Exploring,Hombre,Burgos
Lesbian,Small Town,Very High,Associate’s,"Meditation, Poetry, Photography",190,Extreme User,0.7,Swipe Maniac,110,23,5,10,88,0.25,18,Morning,Ghosted,28,162.0,56.7,Leo,Muscular,Networking,Mujer,Jaén
Straight,Urban,Middle,PhD,"DIY, Motorcycling, Writing",10,Very Low,0.5,Optimistic,185,9,2,260,15,0.18,1,Afternoon,Blocked,47,195.0,105.7,Virgo,Curvy,Casual Dating,Mujer,Huelva
Asexual,Remote Area,Lower-Middle,Master’s,"Stand-up Comedy, Astrology, Cooking",270,Extreme User,0.3,Balanced,60,4,4,370,5,0.6,20,Evening,One-sided Like,33,178.0,79.5,Libra,Athletic,Friends Only,Mujer,Cáceres
Demisexual,Suburban,High,No Formal Education,"Traveling, Reading, Tech",50,Moderate,0.8,Swipe Maniac,125,2,1,430,94,0.3,10,Late Night,Mutual Match,58,165.0,65.6,Scorpio,Average,Hookups,Mujer,Cádiz
Queer,Metro,Very Low,Postdoc,"K-pop, Social Activism, Tattoos",120,Addicted,0.4,Balanced,170,25,3,500,45,0.2,14,After Midnight,Date Happened,24,149.0,45.8,Sagittarius,Plus Size,Serious Relationship,Mujer,Toledo
Lesbian,Small Town,Middle,MBA,"Crafting, History, Binge-Watching",230,Extreme User,0.7,Swipe Maniac,195,15,6,120,70,0.15,7,Morning,Chat Ignored,38,187.0,88.4,Capricorn,Slim,Exploring,Hombre,Badajoz
Straight,Rural,Upper-Middle,High School,"Art, Music, Gaming",135,Addicted,0.45,Optimistic,10,28,0,300,50,0.55,16,Afternoon,Relationship Formed,55,180.0,82.3,Aquarius,Curvy,Casual Dating,Mujer,Navarra
Bisexual,Urban,Low,Associate’s,"Fitness, Movies, Investing",285,Extreme User,0.6,Optimistic,180,13,4,180,10,0.38,19,Evening,Ghosted,30,167.0,61.9,Pisces,Muscular,Networking,Mujer,Albacete
Gay,Metro,Very High,PhD,"Yoga, Stand-up Comedy, Pets",150,Addicted,0.3,Balanced,90,7,1,460,95,0.1,2,Early Morning,Blocked,45,182.0,79.8,Aries,Plus Size,Friends Only,Hombre,Granada
Straight,Suburban,Lower-Middle,Master’s,"DIY, Languages, Tattoos",215,Extreme User,0.5,Optimistic,15,10,5,340,35,0.6,15,Afternoon,Catfished,22,192.0,101.4,Taurus,Curvy,Serious Relationship,Mujer,Guadalajara
Demisexual,Remote Area,Middle,Bachelor’s,"Cooking, Reading, Social Activism",40,Moderate,0.8,Swipe Maniac,175,25,2,70,80,0.4,18,Late Night,No Action,50,154.0,55.1,Gemini,Athletic,Hookups,Hombre,Córdoba
Queer,Urban,Very Low,Postdoc,"Motorcycling, Art, History",255,Extreme User,0.45,Optimistic,125,18,3,490,20,0.25,11,Morning,Mutual Match,34,164.0,61.5,Cancer,Muscular,Exploring,Hombre,Alicante
Pansexual,Small Town,High,MBA,"Sneaker Culture, Writing, Coding",10,Very Low,0.75,Swipe Maniac,140,22,6,150,90,0.5,21,After Midnight,Date Happened,49,158.0,60.7,Leo,Slim,Friends Only,Hombre,León
Straight,Rural,Upper-Middle,High School,"Gardening, Clubbing, Music",200,Extreme User,0.35,Balanced,165,15,1,320,5,0.15,14,Afternoon,Relationship Formed,27,175.0,75.0,Virgo,Average,Casual Dating,Hombre,Salamanca
Bisexual,Metro,Low,Associate’s,"Pets, Binge-Watching, Yoga",90,High,0.5,Optimistic,80,2,4,20,70,0.3,17,Evening,Ghosted,56,189.0,96.5,Libra,Slim,Serious Relationship,Mujer,Toledo
Gay,Suburban,Middle,PhD,"Stand-up Comedy, Photography, Anime",260,Extreme User,0.4,Balanced,130,28,3,390,30,0.6,10,Morning,Blocked,31,173.0,69.2,Scorpio,Curvy,Networking,Mujer,Burgos
Lesbian,Remote Area,Very High,Master’s,"Tech, Travel, Running",5,Barely,0.7,Swipe Maniac,175,12,0,450,10,0.25,23,Afternoon,Chat Ignored,46,195.0,95.9,Sagittarius,Plus Size,Hookups,Hombre,Badajoz
Asexual,Urban,Lower-Middle,Bachelor’s,"Investing, Meditation, DIY",280,Extreme User,0.2,Choosy,40,25,5,100,55,0.4,19,Late Night,Mutual Match,20,157.0,51.0,Capricorn,Athletic,Exploring,Mujer,Navarra
Demisexual,Metro,High,Diploma,"History, Fitness, Cars",120,Addicted,0.65,Optimistic,105,18,2,250,85,0.15,1,After Midnight,One-sided Like,37,170.0,72.5,Aquarius,Muscular,Casual Dating,No binario,Ourense
Straight,Small Town,Very Low,Postdoc,"Social Activism, Foodie, Crafts",160,Addicted,0.5,Optimistic,185,11,4,480,40,0.35,14,Afternoon,Date Happened,44,184.0,85.2,Pisces,Curvy,Friends Only,Hombre,Palencia
Queer,Rural,Upper-Middle,MBA,"Music, Art, Gaming",235,Extreme User,0.3,Balanced,70,26,1,360,5,0.55,8,Late Night,Relationship Formed,53,176.0,78.1,Aries,Slim,Serious Relationship,Hombre,Segovia
Bisexual,Suburban,Low,High School,"Sneaker Culture, Tattoos, Reading",170,Addicted,0.7,Swipe Maniac,120,20,6,150,75,0.2,21,After Midnight,Ghosted,39,165.0,65.0,Taurus,Average,Networking,Mujer,Huesca
Pansexual,Remote Area,Middle,Associate’s,"Writing, Travel, Investing",290,Extreme User,0.45,Optimistic,195,13,3,20,10,0.45,4,Early Morning,Blocked,26,178.0,75.3,Gemini,Muscular,Casual Dating,Hombre,Tarragona
Gay,Urban,Very High,PhD,"History, Politics, Coding",110,High,0.35,Balanced,55,24,0,440,50,0.3,16,Afternoon,Chat Ignored,50,151.0,48.6,Cancer,Slim,Exploring,Hombre,Lleida
Asexual,Metro,Lower-Middle,Master’s,"DIY, Motorcycling, Binge-Watching",25,Low,0.6,Optimistic,145,15,5,300,80,0.1,19,Evening,Mutual Match,42,168.0,70.1,Leo,Curvy,Hookups,Mujer,La Coruña
Demisexual,Small Town,High,Bachelor’s,"Fitness, Pets, Clubbing",275,Extreme User,0.4,Balanced,160,22,2,40,25,0.5,12,Afternoon,One-sided Like,33,180.0,80.7,Virgo,Athletic,Serious Relationship,Mujer,Tarragona
Lesbian,Rural,Very Low,Postdoc,"Reading, Yoga, History",180,Extreme User,0.8,Swipe Maniac,110,18,4,350,90,0.25,23,Late Night,Date Happened,28,193.0,98.9,Libra,Plus Size,Friends Only,Mujer,Las Palmas
Straight,Urban,Upper-Middle,MBA,"Anime, Gaming, Art",140,Addicted,0.3,Balanced,5,7,1,130,5,0.6,17,Evening,Relationship Formed,55,160.0,58.8,Scorpio,Curvy,Casual Dating,Hombre,Ourense
Bisexual,Suburban,Low,High School,"Social Activism, Music, Crafting",255,Extreme User,0.5,Optimistic,135,26,6,470,75,0.4,1,After Midnight,Ghosted,40,172.0,69.5,Sagittarius,Slim,Networking,Mujer,Asturias
Pansexual,Remote Area,Middle,Associate’s,"Tattoos, Stand-up Comedy, Cooking",20,Low,0.65,Optimistic,170,19,3,250,45,0.15,10,Morning,Blocked,45,150.0,45.7,Capricorn,Athletic,Exploring,Hombre,Málaga
Queer,Small Town,Very High,Diploma,"Binge-Watching, Fitness, Pets",155,Addicted,0.4,Balanced,125,12,0,320,15,0.35,14,Afternoon,Chat Ignored,58,168.0,75.4,Aquarius,Muscular,Hookups,Hombre,Zamora
Straight,Urban,Low,Master’s,"Investing, Movies, Photography",290,Extreme User,0.7,Swipe Maniac,95,28,4,480,85,0.2,7,Early Morning,Mutual Match,24,195.0,103.5,Pisces,Curvy,Serious Relationship,Hombre,Illes Balears
Demisexual,Metro,Upper-Middle,Bachelor’s,"Yoga, Travel, Stand-up Comedy",125,Addicted,0.3,Balanced,160,25,1,10,50,0.5,20,Evening,One-sided Like,31,180.0,81.2,Aries,Slim,Friends Only,No binario,Sevilla
Gay,Suburban,High,Postdoc,"Art, Languages, History",240,Extreme User,0.5,Optimistic,175,18,5,350,20,0.4,23,Late Night,Date Happened,52,190.0,95.0,Taurus,Average,Casual Dating,Hombre,Málaga
Lesbian,Remote Area,Lower-Middle,PhD,"Music, Crafting, Gardening",165,Addicted,0.65,Optimistic,115,22,2,420,95,0.15,16,Afternoon,Relationship Formed,29,158.0,56.9,Gemini,Muscular,Networking,Mujer,Huelva
Pansexual,Small Town,Middle,No Formal Education,"Coding, MMA, Clubbing",80,High,0.4,Balanced,130,15,3,200,10,0.55,1,After Midnight,Ghosted,40,165.0,65.0,Cancer,Slim,Exploring,Mujer,Las Palmas
Straight,Urban,Very Low,Associate’s,"Meditation, Poetry, Tattoos",270,Extreme User,0.7,Swipe Maniac,185,26,4,450,70,0.3,14,Afternoon,Blocked,45,178.0,75.2,Leo,Curvy,Hookups,Hombre,Málaga
Asexual,Metro,Upper-Middle,MBA,"Running, DIY, Pets",100,High,0.3,Balanced,5,9,1,30,5,0.65,17,Evening,Chat Ignored,36,190.0,92.0,Virgo,Plus Size,Friends Only,Hombre,Sevilla
Queer,Suburban,High,High School,"Gaming, Social Activism, Investing",195,Extreme User,0.5,Optimistic,145,20,5,380,80,0.2,2,Early Morning,Mutual Match,50,174.0,70.5,Libra,Athletic,Serious Relationship,Hombre,Toledo
Bisexual,Remote Area,Middle,Bachelor’s,"Binge-Watching, Movies, Stand-up Comedy",285,Extreme User,0.65,Optimistic,115,13,2,10,25,0.4,19,Afternoon,One-sided Like,27,155.0,50.1,Scorpio,Slim,Casual Dating,Mujer,Madrid
Pansexual,Urban,Low,Postdoc,"Astrology, History, Cars",120,Addicted,0.4,Balanced,160,25,4,490,95,0.3,10,Morning,Date Happened,34,188.0,88.7,Sagittarius,Muscular,Networking,Mujer,Málaga
Lesbian,Metro,Very High,Master’s,"Photography, Fashion, Clubbing",25,Low,0.8,Swipe Maniac,190,18,3,40,10,0.55,23,Late Night,Relationship Formed,55,165.0,65.0,Capricorn,Curvy,Exploring,Hombre,Lleida
Straight,Small Town,Upper-Middle,PhD,"Reading, Cooking, Anime",150,Addicted,0.3,Balanced,135,22,6,150,75,0.2,16,Afternoon,Ghosted,30,172.0,71.0,Aquarius,Slim,Hookups,Hombre,Las Palmas
Demisexual,Rural,Lower-Middle,Associate’s,"Tech, MMA, Gaming",190,Extreme User,0.5,Optimistic,50,15,1,320,5,0.4,1,After Midnight,Blocked,45,170.0,68.9,Pisces,Muscular,Friends Only,Hombre,Huesca
Gay,Urban,Middle,No Formal Education,"Travel, DIY, Languages",260,Extreme User,0.65,Optimistic,145,24,5,200,60,0.25,14,Afternoon,Chat Ignored,22,190.0,95.0,Aries,Plus Size,Serious Relationship,Mujer,Jaén
Asexual,Suburban,Very Low,Master’s,"Music, Poetry, Meditation",100,High,0.4,Balanced,160,18,2,450,25,0.55,17,Evening,Mutual Match,58,162.0,60.2,Taurus,Curvy,Casual Dating,No binario,Cantabria
Bisexual,Remote Area,High,Bachelor’s,"Coding, History, Stand-up Comedy",20,Low,0.7,Swipe Maniac,135,11,4,30,90,0.3,2,Early Morning,One-sided Like,33,185.0,85.5,Gemini,Athletic,Networking,Mujer,Barcelona
Queer,Small Town,Upper-Middle,Postdoc,"Pets, Fashion, Investing",270,Extreme User,0.5,Optimistic,180,26,3,480,10,0.4,19,Late Night,Date Happened,48,155.0,54.9,Cancer,Slim,Exploring,Hombre,Illes Balears
Pansexual,Rural,Middle,MBA,"Running, Art, Clubbing",295,Extreme User,0.3,Balanced,15,19,6,150,80,0.25,12,Afternoon,Relationship Formed,27,195.0,100.1,Leo,Muscular,Hookups,Mujer,Palencia
Straight,Urban,Very High,High School,"Motorcycling, Binge-Watching, Gaming",115,High,0.65,Optimistic,100,22,1,320,5,0.45,23,After Midnight,Ghosted,50,175.0,70.5,Virgo,Plus Size,Friends Only,Hombre,Asturias
Lesbian,Metro,Low,Associate’s,"Reading, Social Activism, Yoga",180,Extreme User,0.4,Balanced,130,15,5,40,75,0.2,16,Afternoon,Blocked,35,188.0,88.9,Libra,Slim,Casual Dating,Hombre,Ciudad Real
Demisexual,Suburban,Upper-Middle,PhD,"Crafting, History, Music",245,Extreme User,0.7,Swipe Maniac,170,28,2,450,10,0.5,19,Evening,Chat Ignored,24,195.0,105.0,Scorpio,Athletic,Serious Relationship,Mujer,Lleida
Gay,Remote Area,Very Low,Master’s,"Cars, DIY, Anime",10,Very Low,0.3,Balanced,55,13,4,10,85,0.35,7,Early Morning,Mutual Match,51,165.0,65.0,Sagittarius,Curvy,Networking,Mujer,Salamanca
Pansexual,Urban,Middle,Bachelor’s,"Investing, Photography, Pets",260,Extreme User,0.5,Optimistic,135,26,3,480,50,0.2,20,Afternoon,One-sided Like,40,170.0,68.7,Capricorn,Muscular,Exploring,No binario,Bizkaia
Straight,Small Town,High,Postdoc,"Traveling, Foodie, Stand-up Comedy",120,Addicted,0.65,Optimistic,185,19,0,30,25,0.45,1,After Midnight,Date Happened,37,184.0,85.1,Aquarius,Average,Casual Dating,Hombre,Toledo
Queer,Rural,Lower-Middle,MBA,"Art, Reading, Meditation",160,Addicted,0.4,Balanced,50,22,5,150,90,0.3,14,Afternoon,Relationship Formed,55,160.0,57.4,Pisces,Slim,Hookups,Hombre,Segovia
Bisexual,Metro,Very High,High School,"Binge-Watching, MMA, Gaming",290,Extreme User,0.7,Swipe Maniac,125,15,2,400,5,0.5,17,Evening,Ghosted,30,175.0,75.0,Aries,Curvy,Friends Only,Hombre,Jaén
Asexual,Suburban,Low,Associate’s,"Music, History, Writing",240,Extreme User,0.3,Balanced,170,28,4,450,70,0.25,2,Early Morning,Blocked,45,155.0,54.9,Taurus,Muscular,Serious Relationship,Hombre,Girona
Demisexual,Remote Area,Upper-Middle,PhD,"Fitness, Clubbing, Fashion",100,High,0.5,Optimistic,145,11,1,10,10,0.4,19,Late Night,Chat Ignored,22,190.0,95.0,Gemini,Plus Size,Networking,No binario,Sevilla
Gay,Small Town,Middle,Master’s,"DIY, Motorcycling, Pets",270,Extreme User,0.65,Optimistic,185,24,6,480,80,0.3,12,Afternoon,Mutual Match,39,165.0,65.0,Cancer,Slim,Exploring,Hombre,Lugo
Pansexual,Urban,Low,Bachelor’s,"Investing, Yoga, Stand-up Comedy",10,Very Low,0.4,Balanced,50,18,3,150,5,0.45,23,After Midnight,One-sided Like,56,178.0,75.3,Leo,Athletic,Casual Dating,Mujer,Valencia
Straight,Metro,Very High,Postdoc,"Coding, Tech, Reading",285,Extreme User,0.7,Swipe Maniac,125,20,5,320,75,0.2,16,Afternoon,Date Happened,24,195.0,105.0,Virgo,Curvy,Hookups,No binario,Toledo
Lesbian,Rural,Middle,MBA,"Social Activism, Art, Binge-Watching",160,Addicted,0.3,Balanced,170,13,2,40,10,0.55,17,Evening,Relationship Formed,41,160.0,57.4,Libra,Slim,Friends Only,Hombre,Teruel
Queer,Suburban,Lower-Middle,High School,"Traveling, Photography, Cars",240,Extreme User,0.5,Optimistic,145,26,4,450,80,0.25,2,Early Morning,Ghosted,30,175.0,75.0,Scorpio,Muscular,Serious Relationship,Mujer,Murcia
Asexual,Remote Area,Very Low,Associate’s,"Gardening, Music, Meditation",100,High,0.65,Optimistic,185,19,1,10,5,0.4,19,Late Night,Blocked,55,165.0,65.0,Sagittarius,Curvy,Networking,Hombre,Madrid
Bisexual,Urban,High,PhD,"History, Gaming, DIY",270,Extreme User,0.4,Balanced,50,22,3,480,75,0.3,12,Afternoon,Chat Ignored,35,170.0,68.7,Capricorn,Slim,Exploring,Hombre,Huesca
Demisexual,Small Town,Middle,Master’s,"Pets, Yoga, Investing",295,Extreme User,0.7,Swipe Maniac,125,15,6,30,10,0.55,23,After Midnight,Mutual Match,52,185.0,85.5,Aquarius,Athletic,Casual Dating,Mujer,Las Palmas
Pansexual,Metro,Upper-Middle,Bachelor’s,"Running, Clubbing, Fashion",160,Addicted,0.3,Balanced,170,24,1,150,80,0.2,16,Afternoon,One-sided Like,39,160.0,57.4,Pisces,Muscular,Hookups,Hombre,Cantabria
Gay,Rural,Low,Postdoc,"Stand-up Comedy, Traveling, Foodie",240,Extreme User,0.5,Optimistic,145,18,5,400,5,0.45,17,Evening,Date Happened,28,175.0,75.0,Aries,Slim,Friends Only,No binario,Santa Cruz de Tenerife
Straight,Suburban,Very High,MBA,"Art, Reading, History",100,High,0.65,Optimistic,185,20,2,10,75,0.3,2,Early Morning,Relationship Formed,55,165.0,65.0,Taurus,Curvy,Serious Relationship,Mujer,Salamanca
Lesbian,Remote Area,Middle,High School,"Coding, Tech, Music",270,Extreme User,0.4,Balanced,50,13,4,480,10,0.55,19,Late Night,Ghosted,30,170.0,68.7,Gemini,Muscular,Networking,No binario,Cáceres
Pansexual,Urban,Lower-Middle,Associate’s,"Binge-Watching, Gaming, Tattoos",10,Very Low,0.7,Swipe Maniac,125,26,3,30,80,0.2,23,After Midnight,Blocked,45,185.0,85.5,Cancer,Slim,Exploring,Hombre,Bizkaia
Queer,Small Town,High,PhD,"DIY, Motorcycling, Pets",160,Addicted,0.3,Balanced,170,19,6,150,5,0.45,16,Afternoon,Chat Ignored,22,160.0,57.4,Leo,Athletic,Casual Dating,Hombre,Valladolid
Asexual,Rural,Upper-Middle,Master’s,"Investing, Yoga, Stand-up Comedy",240,Extreme User,0.5,Optimistic,145,22,1,400,75,0.3,17,Evening,Mutual Match,39,175.0,75.0,Virgo,Muscular,Hookups,Mujer,Cáceres
Bisexual,Metro,Low,Bachelor’s,"Social Activism, Art, Binge-Watching",100,High,0.65,Optimistic,185,15,5,10,10,0.55,2,Early Morning,One-sided Like,30,190.0,95.0,Libra,Slim,Friends Only,Mujer,Navarra
Demisexual,Suburban,Middle,Postdoc,"Traveling, Photography, Cars",270,Extreme User,0.4,Balanced,50,28,2,480,80,0.2,19,Late Night,Date Happened,45,155.0,54.9,Scorpio,Curvy,Serious Relationship,Hombre,Badajoz
Gay,Remote Area,Very High,MBA,"Gardening, Music, Meditation",10,Very Low,0.7,Swipe Maniac,125,13,4,30,5,0.45,23,After Midnight,Relationship Formed,35,170.0,68.7,Sagittarius,Athletic,Networking,No binario,Cantabria
Pansexual,Urban,Low,High School,"History, Gaming, DIY",160,Addicted,0.3,Balanced,170,26,3,150,75,0.3,16,Afternoon,Ghosted,52,185.0,85.5,Capricorn,Muscular,Exploring,Mujer,Huelva
Straight,Small Town,Upper-Middle,Associate’s,"Pets, Yoga, Investing",240,Extreme User,0.5,Optimistic,145,19,6,400,10,0.55,17,Evening,Blocked,30,160.0,57.4,Aquarius,Slim,Casual Dating,Hombre,Ciudad Real
Queer,Rural,Middle,PhD,"Running, Clubbing, Fashion",100,High,0.65,Optimistic,185,22,1,10,80,0.2,2,Early Morning,Chat Ignored,45,175.0,75.0,Pisces,Curvy,Hookups,No binario,Alicante
Lesbian,Metro,Very Low,Master’s,"Stand-up Comedy, Traveling, Foodie",270,Extreme User,0.4,Balanced,50,15,5,480,5,0.45,19,Late Night,Mutual Match,35,170.0,68.7,Aries,Muscular,Friends Only,No binario,Albacete
Bisexual,Suburban,High,Bachelor’s,"Art, Reading, History",10,Very Low,0.7,Swipe Maniac,125,24,2,30,75,0.3,23,After Midnight,One-sided Like,52,185.0,85.5,Taurus,Slim,Serious Relationship,Mujer,Almería
Pansexual,Remote Area,Lower-Middle,Postdoc,"Coding, Tech, Music",160,Addicted,0.3,Balanced,170,18,4,150,10,0.55,16,Afternoon,Date Happened,30,160.0,57.4,Gemini,Curvy,Networking,Mujer,Illes Balears
Gay,Urban,Middle,MBA,"Binge-Watching, Gaming, Tattoos",240,Extreme User,0.5,Optimistic,145,20,3,400,80,0.2,17,Evening,Relationship Formed,45,175.0,75.0,Cancer,Muscular,Exploring,Hombre,Sevilla
Asexual,Small Town,Low,High School,"DIY, Motorcycling, Pets",100,High,0.65,Optimistic,185,13,6,10,5,0.45,2,Early Morning,Ghosted,35,170.0,68.7,Leo,Slim,Casual Dating,Hombre,Badajoz
Demisexual,Rural,Upper-Middle,Associate’s,"Investing, Yoga, Stand-up Comedy",270,Extreme User,0.4,Balanced,50,26,1,480,75,0.3,19,Late Night,Blocked,52,185.0,85.5,Virgo,Curvy,Hookups,Mujer,Burgos
Straight,Metro,Very High,PhD,"Social Activism, Art, Binge-Watching",10,Very Low,0.7,Swipe Maniac,125,19,5,30,10,0.55,23,After Midnight,Chat Ignored,30,160.0,57.4,Libra,Muscular,Friends Only,Mujer,La Rioja
Pansexual,Suburban,Middle,Master’s,"Traveling, Photography, Cars",160,Addicted,0.3,Balanced,170,22,2,150,80,0.2,16,Afternoon,Mutual Match,45,175.0,75.0,Scorpio,Slim,Serious Relationship,Mujer,Valencia
Queer,Remote Area,Low,Bachelor’s,"Gardening, Music, Meditation",240,Extreme User,0.5,Optimistic,145,15,4,400,5,0.45,17,Evening,One-sided Like,35,170.0,68.7,Sagittarius,Curvy,Networking,Hombre,Zamora
Lesbian,Urban,Very High,Postdoc,"History, Gaming, DIY",100,High,0.65,Optimistic,185,24,3,10,75,0.3,2,Early Morning,Date Happened,52,185.0,85.5,Capricorn,Muscular,Exploring,No binario,Badajoz
Straight,Small Town,Upper-Middle,MBA,"Pets, Yoga, Investing",270,Extreme User,0.4,Balanced,50,18,6,480,10,0.55,19,Late Night,Relationship Formed,30,160.0,57.4,Aquarius,Slim,Casual Dating,Hombre,Santa Cruz de Tenerife
Asexual,Rural,Middle,High School,"Running, Clubbing, Fashion",10,Very Low,0.7,Swipe Maniac,125,20,1,30,80,0.2,23,After Midnight,Ghosted,45,175.0,75.0,Pisces,Curvy,Hookups,Hombre,Girona
Demisexual,Metro,Low,Associate’s,"Stand-up Comedy, Traveling, Foodie",160,Addicted,0.3,Balanced,170,13,5,150,5,0.45,16,Afternoon,Blocked,35,170.0,68.7,Aries,Muscular,Friends Only,Hombre,Ourense
Pansexual,Suburban,Very High,PhD,"Art, Reading, History",240,Extreme User,0.5,Optimistic,145,26,2,400,75,0.3,17,Evening,Chat Ignored,52,185.0,85.5,Taurus,Slim,Serious Relationship,Mujer,Ciudad Real
Bisexual,Remote Area,Middle,Master’s,"Coding, Tech, Music",100,High,0.65,Optimistic,185,19,4,10,10,0.55,2,Early Morning,Mutual Match,30,160.0,57.4,Gemini,Curvy,Networking,Mujer,Girona
Gay,Urban,Lower-Middle,Bachelor’s,"Binge-Watching, Gaming, Tattoos",270,Extreme User,0.4,Balanced,50,22,3,480,80,0.2,19,Late Night,One-sided Like,45,175.0,75.0,Cancer,Muscular,Exploring,Hombre,Lugo
Pansexual,Small Town,Low,Postdoc,"DIY, Motorcycling, Pets",10,Very Low,0.7,Swipe Maniac,125,15,6,30,5,0.45,23,After Midnight,Date Happened,35,170.0,68.7,Leo,Slim,Casual Dating,Hombre,Girona
Straight,Rural,Upper-Middle,MBA,"Investing, Yoga, Stand-up Comedy",160,Addicted,0.3,Balanced,170,24,1,150,75,0.3,16,Afternoon,Relationship Formed,52,185.0,85.5,Virgo,Muscular,Hookups,Mujer,La Rioja
Lesbian,Metro,Middle,High School,"Social Activism, Art, Binge-Watching",240,Extreme User,0.5,Optimistic,145,18,5,400,10,0.55,17,Evening,Ghosted,30,160.0,57.4,Libra,Slim,Friends Only,Hombre,Salamanca
Queer,Suburban,Very Low,Associate’s,"Traveling, Photography, Cars",100,High,0.65,Optimistic,185,20,2,10,80,0.2,2,Early Morning,Blocked,45,175.0,75.0,Scorpio,Curvy,Serious Relationship,Mujer,Castellón
Asexual,Remote Area,High,PhD,"Gardening, Music, Meditation",270,Extreme User,0.4,Balanced,50,13,4,480,5,0.45,19,Late Night,Chat Ignored,35,170.0,68.7,Sagittarius,Muscular,Networking,Mujer,Teruel
Bisexual,Urban,Middle,Master’s,"History, Gaming, DIY",10,Very Low,0.7,Swipe Maniac,125,26,3,30,75,0.3,23,After Midnight,Mutual Match,52,185.0,85.5,Capricorn,Slim,Exploring,No binario,Lleida
Demisexual,Small Town,Upper-Middle,Bachelor’s,"Pets, Yoga, Investing",160,Addicted,0.3,Balanced,170,19,6,150,10,0.55,16,Afternoon,One-sided Like,30,160.0,57.4,Aquarius,Curvy,Casual Dating,Mujer,Álava
Pansexual,Metro,Low,Postdoc,"Running, Clubbing, Fashion",240,Extreme User,0.5,Optimistic,145,22,1,400,80,0.2,17,Evening,Date Happened,45,175.0,75.0,Pisces,Muscular,Hookups,No binario,Santa Cruz de Tenerife
Gay,Rural,Very High,MBA,"Stand-up Comedy, Traveling, Foodie",100,High,0.65,Optimistic,185,15,5,10,5,0.45,2,Early Morning,Relationship Formed,35,170.0,68.7,Aries,Slim,Friends Only,No binario,Castellón
